# node H_index X Y Z RAM_GB vCores
clab-century-serf1 613874291724352751445725 0.035139 0.002244 -0.028547 8 8
clab-century-serf10 614230458561231547597854 0.042102 0.005860 -0.028005 8 8
clab-century-serf11 614220670787125271812855 0.036506 0.006805 -0.031624 8 8
clab-century-serf12 613617032154198061438541 0.035522 0.002705 -0.035551 8 8
clab-century-serf13 1208780589177299067398837 0.046882 -0.005957 -0.035913 8 8
clab-century-serf14 292973550714904541301314 -0.043401 -0.005163 0.032863 8 8
clab-century-serf15 297218053265131726312874 -0.042888 -0.005240 0.032456 8 8
clab-century-serf16 297218475458829939992666 -0.043480 -0.005415 0.033136 8 8
clab-century-serf17 297218475469368632103771 -0.043605 -0.005263 0.033091 8 8
clab-century-serf18 297217510263629577794738 -0.045070 -0.006135 0.034243 8 8
clab-century-serf19 297218052163732637078379 -0.043378 -0.005463 0.033055 8 8
clab-century-serf2 613645275252730209620666 0.035469 0.002700 -0.029262 8 8
clab-century-serf20 292974559509035582365940 -0.043883 -0.005015 0.033763 8 8
clab-century-serf21 297217513933984782518706 -0.043677 -0.006011 0.033418 8 8
clab-century-serf22 292973584471489378627210 -0.043809 -0.004865 0.033086 8 8
clab-century-serf23 297361512821962430910596 -0.046228 -0.007369 0.033013 8 8
clab-century-serf24 292974723765451521853770 -0.046329 -0.003994 0.032411 8 8
clab-century-serf25 297356754009809353534298 -0.045761 -0.009182 0.040398 8 8
clab-century-serf26 292966138833416506167626 -0.045033 -0.002451 0.036132 8 8
clab-century-serf3 613645275351506575357354 0.035913 0.002661 -0.029164 8 8
clab-century-serf4 613645427523792378451637 0.035802 0.002221 -0.029028 8 8
clab-century-serf5 614170010988484531229850 0.035414 0.003054 -0.029687 8 8
clab-century-serf6 613645277798716903961973 0.035373 0.002538 -0.029327 8 8
clab-century-serf7 613645275265365115540669 0.035380 0.002691 -0.029037 8 8
clab-century-serf8 613646582698831790020274 0.036670 0.001207 -0.029767 8 8
clab-century-serf9 614170429909585885066405 0.036365 0.003155 -0.028741 8 8
