name,x,y,z,Coord Hilbert,RAM,Cores,Storage,Param Hilbert,Current Node
clab-century-serf1,-0.035942,0.001991,-0.032417,123684,16,16,425,152941,clab-century-serf1
clab-century-serf10,-0.041666,-0.001809,-0.033357,4539,16,16,948,187234,clab-century-serf1
clab-century-serf11,-0.036759,-0.000965,-0.036971,4807,16,16,926,187178,clab-century-serf1
clab-century-serf12,-0.042417,0.007289,-0.033099,121514,16,16,149,140461,clab-century-serf1
clab-century-serf13,-0.036656,0.00578,-0.039499,121792,16,16,650,181613,clab-century-serf1
clab-century-serf14,0.039119,-0.001694,0.034262,201074,8,8,640,33006,clab-century-serf1
clab-century-serf15,0.038992,-0.001722,0.034365,202301,8,8,607,33014,clab-century-serf1
clab-century-serf16,0.039271,-0.001875,0.034723,202301,8,8,891,37376,clab-century-serf1
clab-century-serf17,0.039062,-0.002006,0.034472,202298,8,8,992,37449,clab-century-serf1
clab-century-serf18,0.039206,-0.001611,0.034866,201073,8,8,103,0,clab-century-serf1
clab-century-serf19,0.039368,-0.002066,0.034562,202298,8,8,931,37439,clab-century-serf1
clab-century-serf2,-0.035972,0.001985,-0.032424,123684,16,16,647,181613,clab-century-serf1
clab-century-serf20,0.038992,-0.001661,0.03404,201074,8,8,486,32703,clab-century-serf1
clab-century-serf21,0.040655,-0.001085,0.034047,201083,8,8,157,64,clab-century-serf1
clab-century-serf22,0.042118,0.001978,0.035722,188717,8,8,175,71,clab-century-serf1
clab-century-serf23,0.038894,-0.00149,0.036725,201486,8,8,694,36622,clab-century-serf1
clab-century-serf24,0.040642,0.000285,0.04638,191570,8,8,508,32707,clab-century-serf1
clab-century-serf25,0.04149,-0.007068,0.037854,224757,8,8,361,30862,clab-century-serf1
clab-century-serf26,0.045763,-0.003776,0.033462,223593,8,8,489,32703,clab-century-serf1
clab-century-serf3,-0.03606,0.002317,-0.032733,123687,16,16,353,152746,clab-century-serf1
clab-century-serf4,-0.03612,0.002,-0.032421,123685,16,16,783,186514,clab-century-serf1
clab-century-serf5,-0.036301,0.002286,-0.032799,123686,16,16,850,186709,clab-century-serf1
clab-century-serf6,-0.036002,0.002278,-0.032733,123687,16,16,254,141997,clab-century-serf1
clab-century-serf7,-0.036227,0.001571,-0.032562,126169,16,16,230,141973,clab-century-serf1
clab-century-serf8,-0.035669,0.002119,-0.033791,123683,16,16,866,186730,clab-century-serf1
clab-century-serf9,-0.038156,0.00237,-0.032179,123743,16,16,931,187181,clab-century-serf1
