# node hilbert_distance_from_current
clab-century-serf1 0
clab-century-serf10 185742760441682584221
clab-century-serf11 585838450638935170317640
clab-century-serf12 9114391199280827198624
clab-century-serf13 4720726690208998965776
clab-century-serf14 887876989255912405848939
clab-century-serf15 887876989247374683524971
clab-century-serf16 887876989248117937487988
clab-century-serf17 887876988398336675918059
clab-century-serf18 887812269474602976575467
clab-century-serf19 887876994114680868802648
clab-century-serf2 17004974790643055
clab-century-serf20 887876994115659433730436
clab-century-serf21 888106425463690570306043
clab-century-serf22 887876989216369157872872
clab-century-serf23 887840011261854569569883
clab-century-serf24 887530590238134197145104
clab-century-serf25 888107920665862635623729
clab-century-serf26 906582371475792659992928
clab-century-serf3 31237390882611873461
clab-century-serf4 31220080100238717457
clab-century-serf5 303951601385443
clab-century-serf6 306626406006949
clab-century-serf7 31236708012825605151
clab-century-serf8 36134347418929450
clab-century-serf9 32281687800673370799
