# node H_index
clab-century-serf1 613801518457960747669302
clab-century-serf10 614249470180791897742006
clab-century-serf11 613800476318596326397142
clab-century-serf12 613912113076953708008774
clab-century-serf13 1208889493580086079790939
clab-century-serf14 297476717889347320490710
clab-century-serf15 297468095322122082232390
clab-century-serf16 297476717995610583406265
clab-century-serf17 297474643244412094339786
clab-century-serf18 292858128814045173110564
clab-century-serf19 297475741295032642922310
clab-century-serf2 613798061604483128693412
clab-century-serf20 292896258482286126782274
clab-century-serf21 297476732412844189193946
clab-century-serf22 297467656502178270614714
clab-century-serf23 297504547422304163890214
clab-century-serf24 297476750984685966550838
clab-century-serf25 297329382592343374156106
clab-century-serf26 297474573959951014946651
clab-century-serf3 613801518339780432975529
clab-century-serf4 613800476742177812962133
clab-century-serf5 613838384066473702525866
clab-century-serf6 613798061903035986777302
clab-century-serf7 613801491204525660514122
clab-century-serf8 613798062565891700299637
clab-century-serf9 613838380004298009127097
